producteur;adresse;CP;commune;pays;INSEE_COM;INSEE_DEP;INSEE_REG;prod_id;lon;lat
Cigalart;rue Bonnechère, 39;4367;Crisnée;Belgique;;;;67152;;
Hesby-Vins;rue Bonnechère, 39;4367;Crisnée;Belgique;;;;50117;;
Jean-christophe Pellerin;Perrozan;1150;Vaux-en-Bugey;France;01431;01;84.0;50416;5.353699276562038;45.92747139880575
Marcel Perinet;65, chem. du Péroud;1150;Saint-Martin-du-Mont;France;01374;01;84.0;19862;5.327717029873956;46.10155153017158
Thierry Tissot;42, quai du Buizin;1150;Vaux-en-Bugey;France;01431;01;84.0;35256;5.353699276562038;45.92747139880575
Earl domaine de la Belière;120, chem. de la Ravat;1250;Bohas-Meyriat-Rignat;France;01245;01;84.0;18146;5.391053879070062;46.13691394453899
Véronique Antoine;281, en Reculet;1250;Bohas-Meyriat-Rignat;France;01245;01;84.0;20544;5.391053879070062;46.13691394453899
Caveau Quinard;201, rte du Lit-au-Roi;1300;Massignieu-de-Rives;France;01239;01;84.0;46427;5.766809066420035;45.75428955475848
Caveau des Demoiselles;Le Bourg;1300;Virignin;France;01454;01;84.0;46430;5.710423201175937;45.720987881523776
Domaine d' Ici là;190, imp. du Richemond;1300;Groslée-Saint-Benoît;France;01338;01;84.0;22936;5.587549442640396;45.694960485186876
Earl caveau Dufour;257, Montée-du-Bourg;1300;Massignieu-de-Rives;France;01239;01;84.0;47871;5.766809066420035;45.75428955475848
Maison Angelot;121, rue du Lavoir;1300;Marignieu;France;01234;01;84.0;33834;5.719287100554948;45.79666927040421
Olivier Lelièvre;302, rte du Chenay;1300;Parves;France;01286;01;84.0;48659;5.742598436672162;45.74372177194761
Philippe Perdrix;283, chem. Creux-des-Vignes;1300;Saint-Benoît;France;01338;01;84.0;46428;5.587549442640396;45.694960485186876
René Laubez;;1300;Andert-et-Condon;France;01009;01;84.0;34611;5.655503190001887;45.794099562599214
Domaine de Bel-Air;rue Albert-Férier;1350;Culoz;France;01138;01;84.0;50958;5.781021600776739;45.84742192500661
Earl domaine Monin;255, chem. des Vignes;1350;Vongnes;France;01456;01;84.0;1100;5.725637600240925;45.81501414210936
Michelle Férier;domaine du Cellier de Bel-Air;1350;Culoz;France;01138;01;84.0;16505;5.781021600776739;45.84742192500661
Sarl le Caveau Bugiste;326, rue de la Vigne-du-Bois;1350;Vongnes;France;01456;01;84.0;33822;5.725637600240925;45.81501414210936
Sylvain Bois;11, rte de Bourgogne;1350;Béon;France;01039;01;84.0;46429;5.750498503421572;45.854618103932786
Earl domaine du Clos d'Arvières;131, chem. de la Cascade Eilloux;1420;Corbonod;France;01118;01;84.0;19871;5.810465054872346;45.96962242810108
Gaec aimé Bernard et Fils;Sylans 205, rue des Vignes;1420;Corbonod;France;01118;01;84.0;49919;5.810465054872346;45.96962242810108
Maison Gallice;236, rue des Peupliers;1420;Corbonod;France;01118;01;84.0;83682;5.810465054872346;45.96962242810108
Maison Mollex;161, pl. de l'Église;1420;Corbonod;France;01118;01;84.0;1102;5.810465054872346;45.96962242810108
Alain et élie Renardat-Fache;115, rue de la Balmette;1450;Mérignat;France;01242;01;84.0;5902;5.436876252268213;46.06931150504192
Cellier Lingot-Martin;ZA 383, rue Sous-la-Côte;1450;Poncin;France;01303;01;84.0;47869;5.407106817739768;46.08628163435703
Christian Bolliet;hameau de Bôches 438, rte de Cerdon;1450;Saint-Alban;France;01331;01;84.0;15732;5.453716777099887;46.09446078473435
Earl Girardi-Dupoyet;4, rue de la Gumarde;1450;Cerdon;France;01068;01;84.0;47170;5.464895040516683;46.08061627072516
Earl Wojtkowiak;205, chem. de Combe Pont-de-Préau;1450;Cerdon;France;01068;01;84.0;22937;5.464895040516683;46.08061627072516
Earl georges Vucher et Fils;quartier La Suisse Cour de Tache;1450;Cerdon;France;01068;01;84.0;18145;5.464895040516683;46.08061627072516
Gérald Dubreuil;111, chem. de la Bierle Leymiat;1450;Poncin;France;01303;01;84.0;67021;5.407106817739768;46.08628163435703
